APRTMENT_LOCATION,APRTMENT_RENT,APRTMENT_DESPOSIT,APRTMENT_MAINTENANCE,APARTMENT_SQFT,RENT_TYPE,APARTMENT_FURNISHING,APRTMENT_TYPE,PREFERRED_TENANTS,APRTMENT_AVAILABLE_FROM
"Shanti Niwas Chs for Rent  In Bhatwadi, Kisan Nagar, Thane West","7,500","₹30,000",No Extra Maintenance,310 sqft,Non-Negotiable,Unfurnished,1 RK,Family,17-Oct-2023
Rosa Bella for Rent  In Thane West,"40,000","₹2,00,000",No Extra Maintenance,"1,350 sqft",Negotiable,Semi Furnished,3 BHK,Family,Ready to Move
Garden Estate for Rent  In Thane West,"25,000","₹1,50,000",No Extra Maintenance,625 sqft,Negotiable,Fully Furnished,1 BHK,All,Ready to Move
Anand Nagar,"20,000","₹60,000",No Extra Maintenance,650 sqft,Negotiable,Semi Furnished,2 BHK,All,Ready to Move
Parijat Soc.kisanger Thane West for Rent  In Kisan Nagar 3,"8,500","₹25,000",No Extra Maintenance,220 sqft,Negotiable,Unfurnished,1 RK,All,Ready to Move
Rumah Bali By Puranik for Rent  In Thane West,"20,000","₹1,00,000",No Extra Maintenance,787 sqft,Non-Negotiable,Unfurnished,2 BHK,Family,Ready to Move
Metropolis Aquaris Phase 2 for Rent  In Kasarvadavali,"16,000","₹80,000",No Extra Maintenance,520 sqft,Non-Negotiable,Semi Furnished,1 BHK,Family,02-Nov-2023
Lodha Casa Ultima for Rent  In Thane West,"45,000","₹2,00,000",No Extra Maintenance,"1,200 sqft",Negotiable,Fully Furnished,3 BHK,All,Ready to Move
Unnati Woods for Rent  In Thane West,"14,000","₹50,000",No Extra Maintenance,325 sqft,Non-Negotiable,Semi Furnished,1 BHK,"Family, Company",Ready to Move
"Bhoomi Acres, Thane West  for Rent  In Thane West","18,000","₹80,000",No Extra Maintenance,460 sqft,Negotiable,Semi Furnished,1 BHK,Family,01-Nov-2023
Raunak Unnati Woods Phase 7 for Rent  In Thane West,"15,000","₹50,000",No Extra Maintenance,575 sqft,Negotiable,Unfurnished,1 BHK,All,01-Nov-2023
Hyde Park for Rent  In Hyde Park Galaxy,"24,000","₹1,50,000",No Extra Maintenance,900 sqft,Negotiable,Semi Furnished,2 BHK,All,Ready to Move
"Oxford Chs Greenwood Complex for Rent  In Manpada, Thane West","20,000","₹1,00,000",No Extra Maintenance,600 sqft,Non-Negotiable,Semi Furnished,1 BHK,All,01-Nov-2023
Devadaya Nagar Phase 1 for Rent  In Devdaya Nagar,"15,000","₹50,000","+₹ 1,000Maintenance",475 sqft,Non-Negotiable,Unfurnished,1 BHK,All,Ready to Move
Kalpataru Hills for Rent  In Thane West,"27,000","₹1,00,000","+₹ 6,000Maintenance","1,000 sqft",Negotiable,Semi Furnished,2 BHK,All,Ready to Move
Swastik Park for Rent  In Thane West,"17,000","₹60,000",No Extra Maintenance,650 sqft,Negotiable,Semi Furnished,2 BHK,All,Ready to Move
"Cosmos Park, Thane West  for Rent  In Thane West","25,000","₹80,000",No Extra Maintenance,880 sqft,Negotiable,Fully Furnished,2 BHK,Family,Ready to Move
Tulsidham for Rent  In Thane West,"29,000","₹1,75,000","+₹ 5,000Maintenance",850 sqft,Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Vasant Leela for Rent  In Thane West,"17,000","₹75,000",No Extra Maintenance,575 sqft,Non-Negotiable,Fully Furnished,1 BHK,All,Ready to Move
Vrindavan Society for Rent  In Thane West,"18,000","₹85,000",No Extra Maintenance,745 sqft,Negotiable,Unfurnished,2 BHK,All,Ready to Move
"Minal Chhaya Chs Ltd for Rent  In Almeda Road, Thane West","25,000","₹1,00,000",No Extra Maintenance,628 sqft,Negotiable,Semi Furnished,1 BHK,All,Ready to Move
Hirabai Amar Singh Building for Rent  In Thane West,"6,000","₹25,000",No Extra Maintenance,150 sqft,Negotiable,Unfurnished,1 RK,Company,Ready to Move
Hiranandani Astra for Rent  In Thane West,"36,000","₹1,50,000",No Extra Maintenance,970 sqft,Negotiable,Semi Furnished,2 BHK,Family,25-Oct-2023
Om Sai Plaza Ovala Naka Ghodbunder Road Thane West for Rent  In Om Sai Plaza,"21,000","₹80,000",No Extra Maintenance,600 sqft,Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Runwal Garden City for Rent  In Thane West,"30,000","₹1,00,000",No Extra Maintenance,950 sqft,Non-Negotiable,Unfurnished,2 BHK,Family,01-Nov-2023
Ganrj Heights  for Rent  In Ganaraj Heights,"45,000","₹2,00,000",No Extra Maintenance,865 sqft,Non-Negotiable,Semi Furnished,3 BHK,"Family, Company",Ready to Move
"B23, Mukti Dham Chs, Wagle Estate,near Shivani Maturnity,shree Nagar. Thane 400604  for Rent  In Shivani Home","17,500","₹1,00,000",No Extra Maintenance,490 sqft,Non-Negotiable,Fully Furnished,1 BHK,Family,01-Nov-2023
Saiprtap Society Drmveer Nagar for Rent  In Tulsidham Road,"11,000","₹60,000",No Extra Maintenance,500 sqft,Negotiable,Unfurnished,1 BHK,Family,18-Oct-2023
"Brahmand Complex, Thane West for Rent  In Thane West","13,500","₹75,000",No Extra Maintenance,410 sqft,Non-Negotiable,Unfurnished,1 BHK,Family,Ready to Move
"Hiranandani Rodas Enclave for Rent  In Hiranandani Estate,thane West","27,000","₹90,000",No Extra Maintenance,690 sqft,Non-Negotiable,Semi Furnished,1 BHK,All,Ready to Move
Thane East,"6,000","₹20,000",No Extra Maintenance,150 sqft,Non-Negotiable,Semi Furnished,1 RK,Family,Ready to Move
Puraniks Rumah Bali for Rent  In Thane West,"17,500","₹52,500",No Extra Maintenance,470 sqft,Non-Negotiable,Semi Furnished,1 BHK,All,Ready to Move
"Vijay Orovia, Thane West for Rent  In Thane West","25,000","₹1,00,000",No Extra Maintenance,855 sqft,Non-Negotiable,Semi Furnished,2 BHK,All,01-Dec-2023
Kesari Niwas for Rent  In Wagle Industrial Estate,"12,999","₹60,000",No Extra Maintenance,410 sqft,Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
"Rutu Park Majiwada for Rent  In  Thane West,","18,500","₹1,00,000",No Extra Maintenance,535 sqft,Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
Lalani Residency for Rent  In Thane West,"30,000","₹1,00,000",No Extra Maintenance,925 sqft,Negotiable,Semi Furnished,2 BHK,Family,01-Nov-2023
Acme Ozone for Rent  In Thane West,"42,000","₹2,50,000",No Extra Maintenance,"1,586 sqft",Negotiable,Semi Furnished,3 BHK,All,Ready to Move
"Rosa Royale Chs Ltd., Hiranandani Estate,ãâ  for Rent  In Thane West","26,500","₹1,00,000",No Extra Maintenance,650 sqft,Non-Negotiable,Fully Furnished,1 BHK,"Family, Female",01-Nov-2023
Hilltop Society for Rent  In Hilltop Society,"21,000","₹80,000",No Extra Maintenance,550 sqft,Negotiable,Semi Furnished,1 BHK,All,Ready to Move
Gagangiri Park for Rent  In Thane West,"22,000","₹1,50,000",No Extra Maintenance,610 sqft,Non-Negotiable,Fully Furnished,1 BHK,All,Ready to Move
Thane West,"16,500","₹65,000",No Extra Maintenance,370 sqft,Negotiable,Unfurnished,1 BHK,Family,Ready to Move
Swaminarayan Chs for Rent  In  Thane West,"12,000","₹60,000","+₹ 1,000Maintenance",300 sqft,Non-Negotiable,Semi Furnished,1 RK,All,Ready to Move
"Satguru Apartment Gokul Nagar Thane W for Rent  In Gokul Nagar, Thane West","16,000","₹75,000",No Extra Maintenance,325 sqft,Negotiable,Fully Furnished,1 BHK,Family,Ready to Move
