APRTMENT_LOCATION,APRTMENT_RENT,APRTMENT_DESPOSIT,APRTMENT_MAINTENANCE,APARTMENT_SQFT,RENT_TYPE,APARTMENT_FURNISHING,APRTMENT_TYPE,PREFERRED_TENANTS,APRTMENT_AVAILABLE_FROM
Thane East,"5,000","₹20,000",No Extra Maintenance,150 sqft,Non-Negotiable,Unfurnished,1 RK,All,Ready to Move
Unnathi Unnathi Woods Phase 7a for Rent  In Thane West,"15,000","₹50,000",No Extra Maintenance,450 sqft,Non-Negotiable,Unfurnished,1 BHK,Family,01-Nov-2023
Harmony Signature Towers Thane West for Rent  In Thane West,"50,000","₹2,00,000",No Extra Maintenance,"1,600 sqft",Non-Negotiable,Fully Furnished,4 BHK,Family,Ready to Move
Lodha Splendora River View for Rent  In Ghodbunder Road,"22,000","₹1,00,000",No Extra Maintenance,612 sqft,Negotiable,Unfurnished,2 BHK,All,01-Nov-2023
Girikunj Complex for Rent  In Thane West,"21,500","₹1,00,000",No Extra Maintenance,880 sqft,Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Rustomjee Azziano for Rent  In Rustomjee Urbania,"40,000","₹2,00,000",No Extra Maintenance,"1,170 sqft",Non-Negotiable,Semi Furnished,2 BHK,Family,15-Nov-2023
New Rachna Park Co-op Hsg Society for Rent  In Thane,"14,000","₹60,000",No Extra Maintenance,500 sqft,Non-Negotiable,Unfurnished,1 BHK,All,13-Dec-2023
Shubharambh Society for Rent  In Thane West,"18,500","₹1,00,000",No Extra Maintenance,595 sqft,Non-Negotiable,Semi Furnished,1 BHK,Family,15-Nov-2023
Kavya Hill View for Rent  In Thane West,"13,000","₹60,000",No Extra Maintenance,440 sqft,Non-Negotiable,Semi Furnished,2 BHK,All,Ready to Move
Vedant Complex for Rent  In Thane West,"35,000","₹1,50,000",No Extra Maintenance,"1,000 sqft",Negotiable,Fully Furnished,2 BHK,Family,Ready to Move
Lodha Splendora Tierra for Rent  In Bhayandarpada,"24,000","₹1,50,000",No Extra Maintenance,700 sqft,Negotiable,Fully Furnished,1 BHK,All,29-Oct-2023
"Ekveera Darshan,kisan Nagar-1,wagle Estate for Rent  In Navodaya Primary English High School","7,000","₹30,000",No Extra Maintenance,200 sqft,Non-Negotiable,Unfurnished,1 RK,Company,Ready to Move
"Kanchanpushp Complex, Thane West for Rent  In Thane West","23,000","₹70,000",No Extra Maintenance,495 sqft,Negotiable,Fully Furnished,1 BHK,All,31-Oct-2023
"Squarefeet Grand Square for Rent  In Squarefeet Group, Satyam Building, 2nd Floor, M G Road, Opposite Navpada Telephone Exchange, Above Punjab National Bank, Naupada,, Prashant Nagar, Vishnu Nagar, Thane West, Mumbai, Maharashtra 400601, India","25,000","₹1,00,000",No Extra Maintenance,449 sqft,Non-Negotiable,Fully Furnished,1 BHK,All,Ready to Move
Lodha Finale for Rent  In Dombivli West,"12,500","₹50,000",No Extra Maintenance,470 sqft,Non-Negotiable,Semi Furnished,2 BHK,All,Ready to Move
Yashwant Society for Rent  In Thane Wes,"14,000","₹50,000",No Extra Maintenance,380 sqft,Non-Negotiable,Semi Furnished,1 RK,All,01-Nov-2023
"Maithili Chsl for Rent  In Panch Pakhdi, Thane West","42,000","₹2,50,000",No Extra Maintenance,750 sqft,Negotiable,Unfurnished,2 BHK,Family,17-Oct-2023
Sankalp Society for Rent  In Thane,"11,000","₹50,000",No Extra Maintenance,375 sqft,Negotiable,Unfurnished,1 BHK,All,Ready to Move
Damji Shamji Shah Mahavir Estella for Rent  In Thane West,"12,000","₹70,000",No Extra Maintenance,580 sqft,Negotiable,Unfurnished,1 BHK,Family,Ready to Move
Trimurthy  for Rent  In Thane,"10,000","₹50,000",+₹ 300Maintenance,300 sqft,Negotiable,Unfurnished,1 RK,All,Ready to Move
Amar Jyoti Chsl Thane for Rent  In Thane West,"16,000","₹75,000",No Extra Maintenance,450 sqft,Negotiable,Semi Furnished,1 BHK,All,Ready to Move
"Shivshakti Apartment, for Rent  In Thane West","19,000","₹1,00,000",No Extra Maintenance,500 sqft,Negotiable,Semi Furnished,1 BHK,Family,01-Dec-2023
Sai Sadguru Apartment Thane West for Rent  In Lokmanya Nagar Bus Depot,"8,500","₹40,000",No Extra Maintenance,350 sqft,Non-Negotiable,Unfurnished,1 RK,Family,Ready to Move
Rajaram Sukur Sapphire for Rent  In Kasarvadavali,"16,500","₹75,000",No Extra Maintenance,419 sqft,Negotiable,Unfurnished,1 BHK,All,Ready to Move
"Bharat Mahal Chsl for Rent  In Kopri, Thane East","20,000","₹1,00,000",No Extra Maintenance,400 sqft,Non-Negotiable,Semi Furnished,1 BHK,"Family, Female",01-Nov-2023
Akash Ganga for Rent  In Mumbai,"17,500","₹65,000",+₹ 500Maintenance,225 sqft,Negotiable,Fully Furnished,1 RK,Company,30-Oct-2023
Devdaya Nagar Phase 2 for Rent  In Thane West,"17,000","₹1,00,000",No Extra Maintenance,475 sqft,Non-Negotiable,Unfurnished,1 BHK,Family,14-Dec-2023
Hiranandani Athena And Barca for Rent  In Thane West,"39,000","₹2,50,000","+₹ 4,000Maintenance","1,006 sqft",Negotiable,Semi Furnished,2 BHK,Family,01-Nov-2023
Rosa Bella for Rent  In Thane West,"35,000","₹1,20,000",No Extra Maintenance,"1,050 sqft",Negotiable,Semi Furnished,2 BHK,Family,30-Nov-2023
Lodha Splendora Ignis for Rent  In Thane West,"26,000","₹1,00,000",No Extra Maintenance,"1,050 sqft",Negotiable,Semi Furnished,2 BHK,All,15-Nov-2023
"Everest Countryside, Thane West for Rent  In Everest Countryside","15,000","₹75,000",No Extra Maintenance,587 sqft,Negotiable,Fully Furnished,1 BHK,All,01-Nov-2023
Adarsh Nagar Kolbad,"20,000","₹60,000",No Extra Maintenance,550 sqft,Non-Negotiable,Unfurnished,1 BHK,All,Ready to Move
Manan Heights for Rent  In Thane West,"18,000","₹60,000",No Extra Maintenance,550 sqft,Non-Negotiable,Semi Furnished,1 BHK,Family,03-Dec-2023
Ms Keytech Ashok Smruti for Rent  In Thane West,"17,000","₹70,000",No Extra Maintenance,505 sqft,Negotiable,Semi Furnished,1 BHK,Family,01-Dec-2023
"Raymond Ten X Habitat for Rent  In Pokhran Rd. No. 2, Near Upvan Lake, Keshar Upvan Road","33,000","₹1,20,000",No Extra Maintenance,502 sqft,Negotiable,Semi Furnished,2 BHK,All,Ready to Move
Laxmi Narayan Tower for Rent  In Naupada,"12,000","₹50,000",No Extra Maintenance,330 sqft,Non-Negotiable,Unfurnished,1 RK,All,Ready to Move
"Sonal Laxmi Apartments, Ghodbunder Road for Rent  In Ghodbunder Road","17,000","₹80,000",No Extra Maintenance,700 sqft,Non-Negotiable,Semi Furnished,1 BHK,Company,30-Nov-2023
Pitambar Villa for Rent  In Khopat,"25,000","₹1,00,000",No Extra Maintenance,900 sqft,Non-Negotiable,Semi Furnished,2 BHK,All,Ready to Move
Kishor Nagar Chs for Rent  In Thane West,"15,000","₹50,000",No Extra Maintenance,200 sqft,Non-Negotiable,Semi Furnished,1 RK,Bachelor,Ready to Move
Swastik Residency for Rent  In Thane West,"27,000","₹1,00,000",No Extra Maintenance,"1,000 sqft",Negotiable,Semi Furnished,2 BHK,Company,Ready to Move
Cosmos Springs for Rent  In Thane West,"18,750","₹1,00,000",No Extra Maintenance,"1,000 sqft",Negotiable,Unfurnished,2 BHK,Family,29-Oct-2023
Siddhi Chs for Rent  In Thane West,"15,000","₹60,000",No Extra Maintenance,600 sqft,Non-Negotiable,Unfurnished,1 BHK,Family,01-Nov-2023
Sadhguru Garden  Thane East for Rent  In Thane East,"30,000","₹1,00,000",No Extra Maintenance,628 sqft,Non-Negotiable,Unfurnished,1 BHK,Family,Ready to Move
"Flora Chs  for Rent  In Hiranandani Estate, Thane West","30,000","₹1,80,000",No Extra Maintenance,850 sqft,Negotiable,Semi Furnished,1 BHK,All,Ready to Move
Vijay Park Chs for Rent  In Kasarwadawali,"15,000","₹75,000",No Extra Maintenance,550 sqft,Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
Satya Shankar Residency for Rent  In Shree Satya Shankar Residency,"45,000","₹2,00,000",No Extra Maintenance,"1,185 sqft",Negotiable,Fully Furnished,3 BHK,All,Ready to Move
Puraniks Rumah Bali for Rent  In Thane West,"17,500","₹65,000",No Extra Maintenance,454 sqft,Negotiable,Semi Furnished,1 BHK,All,Ready to Move
Lodha Splendora for Rent  In Thane West,"26,500","₹1,00,000",No Extra Maintenance,770 sqft,Non-Negotiable,Semi Furnished,2 BHK,All,Ready to Move
"Shramdan Chs for Rent  In Kopri, Thane East","15,500","₹1,00,000",No Extra Maintenance,362 sqft,Negotiable,Unfurnished,1 RK,All,Ready to Move
Shram Safalya for Rent  In Thane East,"15,000","₹80,000",No Extra Maintenance,425 sqft,Negotiable,Unfurnished,1 BHK,All,01-Dec-2023
Thane West,"3,500","₹20,000",No Extra Maintenance,105 sqft,Non-Negotiable,Unfurnished,1 RK,Family,Ready to Move
Kanchanpush for Rent  In Thane West,"35,000","₹3,00,000",No Extra Maintenance,950 sqft,Non-Negotiable,Fully Furnished,2 BHK,All,Ready to Move
"Pride Park Complex, Thane West for Rent  In Manpada, Thane West","28,000","₹1,00,000",No Extra Maintenance,510 sqft,Negotiable,Fully Furnished,1 BHK,"Family, Company",Ready to Move
Shubham Shubham Chs for Rent  In Thane West,"60,000","₹2,00,000",No Extra Maintenance,"1,000 sqft",Non-Negotiable,Fully Furnished,2 BHK,Family,01-Nov-2023
Regency Height  for Rent  In Regency Heights Brahmand Thane West,"35,000","₹1,50,000",No Extra Maintenance,"1,600 sqft",Non-Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
"Shreeji Palacia Phase Ii, Hiranandani Estate for Rent  In Hiranandani Estate","32,000","₹1,00,000",No Extra Maintenance,610 sqft,Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Thane East,"10,000","₹50,000",No Extra Maintenance,400 sqft,Non-Negotiable,Unfurnished,1 RK,Family,Ready to Move
"Empire Ways for Rent  In Samata Nagar, Thane West","26,000","₹75,000",No Extra Maintenance,800 sqft,Non-Negotiable,Semi Furnished,2 BHK,"Family, Female",13-Dec-2023
Pratik Chs  for Rent  In Thane West,"28,000","₹1,20,000",No Extra Maintenance,850 sqft,Negotiable,Semi Furnished,2 BHK,All,15-Nov-2023
Ganesh Tower for Rent  In Thane West,"44,500","₹1,00,000",No Extra Maintenance,900 sqft,Non-Negotiable,Unfurnished,2 BHK,All,Ready to Move
"Flat No.101, Aakaar, Phase  3, Vasantleela Socoety, for Rent  In Wagh Bill Naka","20,000","₹50,000",No Extra Maintenance,575 sqft,Negotiable,Fully Furnished,1 BHK,Family,Ready to Move
Pride Park Complex for Rent  In Thane West,"22,000","₹1,00,000",No Extra Maintenance,500 sqft,Non-Negotiable,Fully Furnished,1 BHK,Family,01-Dec-2023
Thane East,"10,000","₹45,000",No Extra Maintenance,350 sqft,Negotiable,Unfurnished,1 RK,Company,Ready to Move
"Mahavir Estella for Rent  In Kasarvadavali, Thane West","25,000","₹1,00,000",No Extra Maintenance,600 sqft,Negotiable,Fully Furnished,2 BHK,Family,01-Dec-2023
Thane West,"5,000","₹25,000",No Extra Maintenance,340 sqft,Negotiable,Unfurnished,1 RK,All,Ready to Move
Suryodaya Chsl for Rent  In Mulund East,"35,000","₹1,50,000","+₹ 2,998Maintenance",700 sqft,Non-Negotiable,Semi Furnished,2 BHK,All,Ready to Move
Nirmal Kunj for Rent  In Thane West,"6,000","₹30,000",No Extra Maintenance,180 sqft,Non-Negotiable,Unfurnished,1 RK,All,01-Nov-2023
Nirlac Solitaire Tower for Rent  In Nirlac Solitaire Tower,"36,000","₹1,50,000",No Extra Maintenance,975 sqft,Negotiable,Fully Furnished,2 BHK,All,15-Nov-2023
Lodha Tierra for Rent  In Bhayandarpada,"30,000","₹1,50,000",No Extra Maintenance,"1,100 sqft",Negotiable,Fully Furnished,3 BHK,All,Ready to Move
"Gangotri Glacier Chs for Rent  In Waghbil, Thane West","23,000","₹1,00,000",No Extra Maintenance,"1,050 sqft",Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Vijay Orovia for Rent  In Thane West,"51,000","₹1,50,000",No Extra Maintenance,"1,000 sqft",Negotiable,Fully Furnished,3 BHK,All,21-Oct-2023
"Shree Kolungade Chs, Uthalsar for Rent  In Uthalsar","35,000","₹1,50,000",No Extra Maintenance,780 sqft,Negotiable,Fully Furnished,2 BHK,All,01-Nov-2023
"Ganesh Siddhi Chs, Shivaji Nagar, Thane West. for Rent  In Shivaji Nagar, Thane West","8,750","₹40,000",No Extra Maintenance,350 sqft,Non-Negotiable,Unfurnished,1 RK,Family,Ready to Move
" Neelkanth Woods Olivia, Mumbai for Rent  In Mumbai","54,000","₹1,50,000",No Extra Maintenance,"1,350 sqft",Negotiable,Fully Furnished,3 BHK,Family,21-Oct-2023
Prestige Residency Thane for Rent  In Thane West,"40,000","₹1,50,000",No Extra Maintenance,860 sqft,Negotiable,Fully Furnished,2 BHK,Family,Ready to Move
"Runwal Plaza for Rent  In Lokmanya Nagar,","21,000","₹1,00,000",No Extra Maintenance,555 sqft,Non-Negotiable,Unfurnished,1 BHK,Family,10-Nov-2023
Sawant Apartment for Rent  In Thane West,"25,000","₹1,10,000",No Extra Maintenance,850 sqft,Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
"Haware Spectrum Thane West for Rent  In Kasarvadavali, Thane West","16,000","₹50,000",No Extra Maintenance,650 sqft,Non-Negotiable,Unfurnished,2 BHK,Company,20-Oct-2023
"Jai Vasant Chs for Rent  In Jai Vasant Society, Bhakti Mandir, Panch Pakhdi, Thane West, Thane, Maharashtra, India","39,997","₹3,99,999",No Extra Maintenance,"1,200 sqft",Negotiable,Semi Furnished,3 BHK,Family,Ready to Move
Thane East,"10,000","₹50,000",No Extra Maintenance,230 sqft,Non-Negotiable,Unfurnished,1 RK,Bachelor,24-Oct-2023
Rutu Park  for Rent  In Thane West,"25,000","₹1,00,000",No Extra Maintenance,415 sqft,Negotiable,Fully Furnished,1 BHK,Family,20-Nov-2023
Manik Apartment for Rent  In Thane West,"25,000","₹1,25,000",No Extra Maintenance,660 sqft,Negotiable,Fully Furnished,1 BHK,All,01-Nov-2023
Mahalaxmi Tower  for Rent  In Kasarvadavali,"20,000","₹80,000",No Extra Maintenance,730 sqft,Non-Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
Joy Square for Rent  In Kasar Vadavali,"20,000","₹80,000",No Extra Maintenance,400 sqft,Non-Negotiable,Fully Furnished,1 BHK,Company,15-Nov-2023
Siddhi Group Highland Gardens for Rent  In Mumbai,"27,000","₹1,25,000",No Extra Maintenance,930 sqft,Non-Negotiable,Unfurnished,2 BHK,Family,07-Dec-2023
Veer Savarkar Nagar,"6,000","₹30,000",+₹ 200Maintenance,200 sqft,Negotiable,Unfurnished,1 RK,All,Ready to Move
"Cosmos County Bella, Ghodbunder Road for Rent  In Ghodbunder Road","20,000","₹1,20,000",No Extra Maintenance,840 sqft,Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Neet Aracde  for Rent  In Thane West,"36,000","₹2,00,000",No Extra Maintenance,830 sqft,Non-Negotiable,Fully Furnished,3 BHK,All,Ready to Move
Haware Citi for Rent  In Thane West,"14,000","₹50,000",No Extra Maintenance,300 sqft,Negotiable,Fully Furnished,1 RK,All,18-Oct-2023
Paradise Heights for Rent  In Thane West,"35,000","₹2,00,000",No Extra Maintenance,900 sqft,Negotiable,Fully Furnished,2 BHK,Family,Ready to Move
Amar Jyoti Chs for Rent  In Panch Pakhadi,"28,000","₹1,50,000",No Extra Maintenance,880 sqft,Negotiable,Unfurnished,2 BHK,All,Ready to Move
Dream Arcade  for Rent  In Thane West,"15,000","₹39,999",No Extra Maintenance,210 sqft,Non-Negotiable,Semi Furnished,1 RK,All,Ready to Move
"Ram Shanti Apartment, Thane for Rent  In Ghantali","25,000","₹1,50,000",No Extra Maintenance,225 sqft,Negotiable,Fully Furnished,1 RK,Company,Ready to Move
 Unnathi Woods  for Rent  In Thane West,"15,500","₹60,000",No Extra Maintenance,560 sqft,Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
Godrej Emerald  for Rent  In Ghodbunder Road,"25,000","₹50,000",No Extra Maintenance,650 sqft,Non-Negotiable,Semi Furnished,2 BHK,"Family, Female",Ready to Move
Jarruti Chs for Rent  In Thane West,"13,500","₹50,000",No Extra Maintenance,269 sqft,Negotiable,Unfurnished,1 BHK,Family,Ready to Move
Vijay Orovia for Rent  In Thane West,"15,000","₹75,000",No Extra Maintenance,478 sqft,Negotiable,Unfurnished,1 BHK,Family,Ready to Move
Hiranandani Athena And Barca for Rent  In Hiranandani Estate,"39,000","₹2,50,000","+₹ 4,000Maintenance","1,006 sqft",Non-Negotiable,Semi Furnished,2 BHK,Family,01-Nov-2023
Lodha Splendora  for Rent  In Lodha Splendora,"25,000","₹1,00,000",No Extra Maintenance,"1,185 sqft",Non-Negotiable,Semi Furnished,2 BHK,All,Ready to Move
Rajanigandha Chs Ltd for Rent  In Thane West,"21,000","₹1,00,000",No Extra Maintenance,515 sqft,Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
Regency Heights Thane for Rent  In Thane West,"35,000","₹1,50,000",No Extra Maintenance,"1,250 sqft",Non-Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Sarovar Darshan for Rent  In Thane West,"45,000","₹2,00,000",No Extra Maintenance,900 sqft,Negotiable,Fully Furnished,2 BHK,Family,Ready to Move
"Sharmila Apartment, Rabodi-2nd for Rent  In Thane","14,000","₹85,000",No Extra Maintenance,550 sqft,Non-Negotiable,Unfurnished,1 BHK,Family,Ready to Move
Mauli Apartment  for Rent  In Thane West,"12,000","₹80,000","+₹ 1,100Maintenance",340 sqft,Non-Negotiable,Semi Furnished,1 RK,All,Ready to Move
Kalpatru Sunrise  for Rent  In Kalpataru Sunrise Thane,"52,000","₹5,00,000",No Extra Maintenance,"1,600 sqft",Negotiable,Semi Furnished,3 BHK,All,30-Nov-2023
Godrej Emerald Vista for Rent  In Ghodbunder Road,"23,000","₹1,20,000",No Extra Maintenance,704 sqft,Negotiable,Semi Furnished,2 BHK,All,Ready to Move
Tulip 1 & 2 - H. Estate for Rent  In Thane West,"18,000","₹50,000",No Extra Maintenance,450 sqft,Negotiable,Semi Furnished,1 BHK,"Family, Company",01-Dec-2023
"Prakruti Pearl, Hiranandani Estate for Rent  In Hiranandani Estate, Thane West","32,000","₹1,92,000",No Extra Maintenance,"1,031 sqft",Non-Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Bhoomi Acres for Rent  In Thane West,"35,000","₹1,50,000",No Extra Maintenance,"1,050 sqft",Non-Negotiable,Fully Furnished,2 BHK,Family,05-Dec-2023
"Rutu City , Mhada Inclusive Building for Rent  In Thane West","14,000","₹50,000",No Extra Maintenance,400 sqft,Non-Negotiable,Unfurnished,1 BHK,Family,01-Nov-2023
Anil Chs for Rent  In Naupada,"25,000","₹1,00,000",No Extra Maintenance,600 sqft,Negotiable,Unfurnished,1 BHK,Company,01-Nov-2023
Navdurga Society  for Rent  In Thane,"25,500","₹1,00,000",No Extra Maintenance,425 sqft,Negotiable,Fully Furnished,1 BHK,All,Ready to Move
Jagruti Chs Ltd for Rent  In Thane West,"15,000","₹45,000",No Extra Maintenance,550 sqft,Non-Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
Nalanda Apartment for Rent  In Thane West,"7,500","₹30,000",No Extra Maintenance,200 sqft,Negotiable,Unfurnished,1 RK,All,Ready to Move
Thane West,"28,000","₹1,00,000","+₹ 1,000Maintenance",750 sqft,Non-Negotiable,Semi Furnished,2 BHK,All,Ready to Move
Oliviya for Rent  In Thane West,"50,000","₹4,00,000",+₹ 1Maintenance,"1,400 sqft",Non-Negotiable,Unfurnished,3 BHK,Family,Ready to Move
Shree Drushti for Rent  In Kasarwadawali,"40,000","₹1,50,000",No Extra Maintenance,"1,750 sqft",Non-Negotiable,Semi Furnished,3 BHK,Company,Ready to Move
Sairam Apartment for Rent  In Thane West,"38,000","₹4,00,000",+₹ 1Maintenance,750 sqft,Negotiable,Fully Furnished,2 BHK,Family,01-Nov-2023
Tarangan Ii for Rent  In Thane West,"42,000","₹1,50,000",No Extra Maintenance,"1,025 sqft",Non-Negotiable,Semi Furnished,2 BHK,All,01-Dec-2023
"Aakash Chs Thane, Thane West for Rent  In Akash Chs","27,000","₹1,00,000",No Extra Maintenance,"1,000 sqft",Negotiable,Fully Furnished,2 BHK,Family,19-Oct-2023
"Puraniks Kanchanpushp Complex, Kavesar for Rent  In Kavesar","15,000","₹80,000",No Extra Maintenance,500 sqft,Negotiable,Semi Furnished,1 BHK,All,Ready to Move
Sitar Lokpuram Chs for Rent  In Thane West,"22,000","₹75,000",No Extra Maintenance,550 sqft,Negotiable,Semi Furnished,1 BHK,All,01-Nov-2023
Brightland 2 Chs Ltd C1 C2 for Rent  In Balkum,"17,000","₹80,000",No Extra Maintenance,470 sqft,Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
Raymond Ten X Habitat for Rent  In Pokhran Road No Two,"38,500","₹1,75,000",No Extra Maintenance,614 sqft,Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Unique Greens for Rent  In Thane West,"23,000","₹1,00,000",No Extra Maintenance,"1,100 sqft",Non-Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
"Orovia Phase 1 for Rent  In Orovia Phase 1, Thane","23,000","₹60,000","+₹ 1,036Maintenance",450 sqft,Negotiable,Semi Furnished,1 BHK,Family,30-Nov-2023
Vihang Hills for Rent  In Thane West,"22,000","₹86,000",No Extra Maintenance,800 sqft,Negotiable,Unfurnished,2 BHK,All,Ready to Move
Rdc Pinewood for Rent  In Kasarvadavali,"30,000","₹1,20,000",No Extra Maintenance,"1,200 sqft",Negotiable,Fully Furnished,2 BHK,Family,Ready to Move
"Ekveera Apartment, Aai Ekveera Apartments for Rent  In Yashodhan Nagar","8,500","₹40,000",+₹ 300Maintenance,425 sqft,Negotiable,Unfurnished,1 BHK,Family,Ready to Move
Nirmal Chs for Rent  In Thane West,"30,000","₹1,49,999",No Extra Maintenance,680 sqft,Negotiable,Fully Furnished,2 BHK,All,Ready to Move
"Dev Ashish Chs Dhokali, Dhokali for Rent  In Dhokali","30,000","₹1,00,000","+₹ 1,700Maintenance",900 sqft,Negotiable,Semi Furnished,3 BHK,Family,Ready to Move
"Lodha Splendora, Vivant Cluster for Rent  In Bhayandarpada, Thane West","24,000","₹1,00,000",No Extra Maintenance,"1,125 sqft",Non-Negotiable,Unfurnished,2 BHK,All,Ready to Move
Hiranandani Athena for Rent  In Mumbai,"42,000","₹2,00,000",No Extra Maintenance,730 sqft,Negotiable,Semi Furnished,2 BHK,All,Ready to Move
Matadarshan Building for Rent  In  Thane West,"17,000","₹50,000",No Extra Maintenance,650 sqft,Negotiable,Fully Furnished,1 BHK,Family,30-Nov-2023
Thane West,"30,000","₹1,20,000",No Extra Maintenance,"1,000 sqft",Negotiable,Unfurnished,2 BHK,All,Ready to Move
Reputed Ravi Estate for Rent  In Mumbai,"33,000","₹1,20,000",No Extra Maintenance,"1,040 sqft",Non-Negotiable,Semi Furnished,2 BHK,Family,15-Nov-2023
Siddhi Highland Gardens for Rent  In Thane West,"36,000","₹1,00,000",No Extra Maintenance,"1,012 sqft",Non-Negotiable,Fully Furnished,2 BHK,Family,01-Nov-2023
Godrej Vihang for Rent  In Godrej Emerald Thane,"27,000","₹1,00,000",No Extra Maintenance,721 sqft,Negotiable,Semi Furnished,2 BHK,All,17-Oct-2023
Tyagraj Apartment for Rent  In Thane West,"50,000","₹1,50,000",No Extra Maintenance,725 sqft,Negotiable,Unfurnished,1 BHK,All,Ready to Move
Shakti Saket Complex for Rent  In Thane West,"20,000","₹1,00,000",No Extra Maintenance,575 sqft,Negotiable,Semi Furnished,1 BHK,All,20-Oct-2023
Chintamani Tower for Rent  In Thane West,"24,000","₹75,000",No Extra Maintenance,875 sqft,Negotiable,Unfurnished,2 BHK,Family,03-Dec-2023
Poovanmala House for Rent  In Thane West,"7,500","₹35,000",No Extra Maintenance,250 sqft,Non-Negotiable,Unfurnished,1 RK,All,Ready to Move
"Soham Gardens, Chitalsar for Rent  In Chitalsar","42,000","₹2,00,000",No Extra Maintenance,"1,015 sqft",Non-Negotiable,Semi Furnished,3 BHK,Family,01-Nov-2023
Hiranandani Estate for Rent  In Thane West,"47,000","₹2,00,000",No Extra Maintenance,"1,000 sqft",Negotiable,Fully Furnished,2 BHK,Family,Ready to Move
"Blue Nile Chs for Rent  In Panch Pakhdi, Thane West","20,000","₹75,000",No Extra Maintenance,750 sqft,Negotiable,Semi Furnished,2 BHK,Family,Ready to Move
Lalani Residency for Rent  In Thane West,"20,000","₹50,000",No Extra Maintenance,460 sqft,Negotiable,Unfurnished,1 BHK,All,10-Nov-2023
"Thane West,","5,500","₹20,000",No Extra Maintenance,180 sqft,Non-Negotiable,Unfurnished,1 RK,All,Ready to Move
Radhakrishna Apartment for Rent  In Amruteshwar Niwas,"10,000","₹30,000",No Extra Maintenance,240 sqft,Negotiable,Unfurnished,1 RK,Company,Ready to Move
Thane West,"10,000","₹30,000","+₹ 1,500Maintenance",400 sqft,Negotiable,Fully Furnished,1 RK,All,Ready to Move
Chandrama Chs for Rent  In Thane West,"27,000","₹1,50,000",No Extra Maintenance,750 sqft,Non-Negotiable,Semi Furnished,2 BHK,All,Ready to Move
Puranik City for Rent  In Thane West,"23,000","₹95,000",No Extra Maintenance,989 sqft,Negotiable,Unfurnished,2 BHK,All,Ready to Move
Manas Residency for Rent  In Thane West,"25,000","₹1,50,000",No Extra Maintenance,650 sqft,Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
"Rosa Gardenia Chsl for Rent  In Thane, Kasarvadavli, 400615","28,000","₹1,00,000",No Extra Maintenance,"1,000 sqft",Negotiable,Semi Furnished,3 BHK,Bachelor,Ready to Move
Rna Ng Regency for Rent  In Thane West,"15,000","₹50,000",No Extra Maintenance,585 sqft,Non-Negotiable,Unfurnished,1 BHK,Family,01-Dec-2023
Ketki Purushottam Plaza for Rent  In Thane West,"16,000","₹80,000",No Extra Maintenance,760 sqft,Negotiable,Unfurnished,2 BHK,All,Ready to Move
Vijay Orovia for Rent  In Thane West,"17,000","₹50,000",No Extra Maintenance,439 sqft,Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
Coral Heights for Rent  In Thane West,"25,000","₹1,00,000",No Extra Maintenance,645 sqft,Non-Negotiable,Semi Furnished,1 BHK,Family,01-Nov-2023
"Satyavandan Chs,thane West for Rent  In Thane West","19,000","₹1,00,000",No Extra Maintenance,540 sqft,Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
"Krishna Greenland Park Vastu Federation, Ghodbunder Road for Rent  In Ghodbunder Road","15,500","₹50,000",No Extra Maintenance,520 sqft,Negotiable,Unfurnished,1 BHK,Family,Ready to Move
Sra Mhada for Rent  In Parel,"25,000","₹1,00,000",No Extra Maintenance,550 sqft,Negotiable,Unfurnished,1 BHK,Family,Ready to Move
Bharat School Kopri for Rent  In Bharat English High School & Jr. College,"27,000","₹1,50,000",No Extra Maintenance,600 sqft,Negotiable,Fully Furnished,2 BHK,Bachelor,Ready to Move
Saket Towers Thane West for Rent  In Thane,"19,000","₹1,50,000",No Extra Maintenance,600 sqft,Non-Negotiable,Semi Furnished,1 BHK,Family,Ready to Move
Shree Navjivan Coop Hsg Society  for Rent  In Thane Station (e),"24,000","₹80,000",No Extra Maintenance,610 sqft,Non-Negotiable,Unfurnished,2 BHK,All,Ready to Move
